Date,Close,High,Low,Open,Volume,return_1d,volatility_21d,ma_20,ma_50,ma_200,rsi,macd,macd_signal,ema_50,ema_200,stoch_k,stoch_d,bb_upper,bb_lower,obv,anomaly
,,,,,,,,,,,,,,,,,,,,0.0,1
2018-01-02,77.41204071044922,79.49768296468757,76.986217580617,79.08055186181032,1139600.0,,,,,,,0.0,0.0,77.41204071044922,77.41204071044922,,,,,0.0,1
2018-01-03,76.86457824707031,77.71621812621574,76.39531473517741,76.91672379400633,946800.0,-0.007072058278719484,,,,,,-0.043672219300887605,-0.008734443860177521,77.39057159423828,77.4065933227539,,,,,-946800.0,1
2018-01-04,76.13459014892578,77.1861000648613,75.90864384209043,76.70813799849314,931300.0,-0.009497067632350586,,,,,,-0.1356233252227952,-0.03411222013270106,77.3413174199123,77.39393657475561,,,,,-1878100.0,1
2018-01-05,75.38723754882812,76.49957843686343,75.0483213916947,76.2823241499792,1140900.0,-0.009816203103422128,,,,,,-0.26573709624948094,-0.08043719535605703,77.26468683673254,77.37396942026876,,,,,-3019000.0,1
2018-01-08,76.03901672363281,76.05639415307901,75.43070724187419,75.60450805664063,1284300.0,0.008645749545903358,,,,,,-0.3126559616420792,-0.1268809486132615,77.21662134210118,77.36068630885946,,,,,-1734700.0,1
2018-01-09,75.35246276855469,76.07374846493039,74.62249167589025,76.03898698955491,864400.0,-0.00902896939834763,,,,,,-0.40062056243579036,-0.1816288713777673,77.14351708431504,77.34070398507534,,,,,-2599100.0,1
2018-01-10,74.4747543334961,75.17866261275447,74.17929173559209,75.17866261275447,829000.0,-0.011648039132502896,,,,,,-0.5349898477638959,-0.252301066654993,77.03885972153782,77.31218707311933,,,,,-3428100.0,1
2018-01-11,73.64051055908203,73.85776484399913,73.01481715770882,73.74479500266911,1394200.0,-0.01120169890965117,,,,,,-0.700717539381472,-0.34198436120028886,76.90559112693171,77.2756529784523,,,,,-4822300.0,1
2018-01-12,70.24263763427734,73.5362124816391,70.01669138380531,73.35371972820612,4003600.0,-0.04614135479246251,,,,,,-1.0936311773639318,-0.49231372443301746,76.64429883310213,77.20567272627146,,,,,-8825900.0,1
2018-01-16,71.4505844116211,72.64982557896758,70.35562104921617,70.60763679461506,3111500.0,0.017196774181986063,,,,,,-1.292646037677585,-0.652380187081931,76.44062375774992,77.14840816592668,,,,,-5714400.0,1
2018-01-17,71.70262145996094,71.95463728023405,71.24204333776649,71.33762914400356,1482100.0,0.0035274315866735684,,,,,,-1.4137328327830687,-0.8046507162221586,76.25481974607192,77.09422123352901,,,,,-4232300.0,1
2018-01-18,71.61570739746094,72.24139418391731,71.11167585302476,71.66784630548028,1561100.0,-0.0012121462330151322,,,,,,-1.4994238045006654,-0.94360533387786,76.07289377161658,77.03970865804575,,,,,-5793400.0,1
2018-01-19,72.1371078491211,72.58899380209941,71.58962285927211,71.98936991038823,1323900.0,0.007280532031421982,,,,,,-1.5078799565173568,-1.0564602584057594,75.91854922563637,76.9909265604445,,,,,-4469500.0,1
