Price,Close,High,Low,Open,Volume
Ticker,MCO,MCO,MCO,MCO,MCO
Date,,,,,
2018-01-02,136.64173889160156,138.70823492436105,136.20225499416685,138.3529181430541,571600
2018-01-03,139.19447326660156,139.28798594190204,136.05263856812164,136.09939490577187,1007600
2018-01-04,141.7565460205078,142.8412158282798,139.55912692453484,139.55912692453484,778200
2018-01-05,144.11293029785156,144.2625448666,141.85006345064613,142.1025362519053,1275200
2018-01-08,145.0012664794922,145.34723770570903,143.79501856598077,144.36541165862639,566200
2018-01-09,145.9830780029297,146.1701033586419,144.90775354774152,145.12281558517287,626200
2018-01-10,144.75811767578125,146.27292581160117,144.3279936641918,145.99241635535992,627000
2018-01-11,145.6090545654297,145.67450202493654,144.5617810690698,145.46879981789266,521800
2018-01-12,147.03970336914062,147.32957267954308,145.60904793726172,146.39450302377747,564900
2018-01-16,145.43138122558594,148.21788478183777,144.898398945552,147.5633388817827,588700
2018-01-17,147.18934631347656,147.77843060791142,145.6932288686186,146.72181139546262,680800
2018-01-18,147.34829711914062,147.66621741887914,146.2075108501659,146.6843912997737,780700
2018-01-19,148.8444366455078,149.73276456527304,147.60080609390843,148.01222491122985,786800
2018-01-22,150.05062866210938,150.05997422216728,146.99294689556095,149.22776280003382,491100
2018-01-23,150.39662170410156,150.6490945426267,148.73219861818404,149.81688299966794,518400
2018-01-24,151.6589813232422,152.80911324421498,150.6771551266897,151.03248623562177,509000
2018-01-25,152.2200164794922,153.07093347780676,151.5748302601893,152.25742726405204,470200
2018-01-26,156.37171936035156,156.37171936035156,152.48183981860856,153.08962948412167,838700
2018-01-29,151.24752807617188,155.82001846243656,151.21947712585376,155.35248359975907,964200
2018-01-30,151.1353302001953,152.1358474261742,149.73272555717335,150.59298802606295,778900
2018-01-31,151.284912109375,152.20129063762343,150.20024216113012,151.12595198133937,668000
2018-02-01,152.94932556152344,153.4449112570184,150.37788442647184,151.1726849437617,576600
2018-02-02,148.31138610839844,152.26672642218554,147.96541493084183,151.55607868049296,786700
2018-02-05,141.48541259765625,148.40493784683784,141.27035053347268,147.6194683520213,1363100
2018-02-06,147.68495178222656,147.71300273958695,137.77320449787547,141.0740003156113,1982000
2018-02-07,147.72230529785156,150.77998717230136,146.27294442801545,146.82464638757438,1034000
2018-02-08,142.26150512695312,149.72335741866283,141.99034118895213,147.69425785986596,1665200
2018-02-09,144.5991668701172,148.25529254414488,139.5965386473303,144.62721781754715,2309600
2018-02-12,148.93788146972656,150.90153329373553,145.60903604985035,146.61891290779528,1214600
2018-02-13,151.1072235107422,151.26618359948614,146.54408018952037,147.432393282161,754000
2018-02-14,152.93064880371094,153.55714377627098,149.4241375086153,150.49011637160314,1356900
2018-02-15,156.14735412597656,156.14735412597656,152.6501869724723,154.33331593052347,934100
2018-02-16,157.70367431640625,158.50057505951546,155.56606907921739,155.87545912268246,765600
2018-02-20,157.6286163330078,158.92241189995815,155.95979615513073,156.98171139666957,661000
2018-02-21,156.559814453125,159.96307502746603,156.447299921852,157.56297484428293,804100
2018-02-22,156.7285919189453,158.20990713652577,155.95043184419384,157.39425174867708,593900
2018-02-23,158.72555541992188,158.72555541992188,155.9785552520762,156.77547012779297,669000
2018-02-26,159.56930541992188,160.13183514320275,158.08799050062566,159.75681055910712,739500
2018-02-27,157.85357666015625,160.9287061592846,157.85357666015625,159.28801145615174,742300
2018-02-28,156.45668029785156,160.38497519982417,156.4379254921862,158.8192708055821,1068000
2018-03-01,156.11912536621094,158.2848399301841,154.50655582912623,156.30663045769768,836700
2018-03-02,156.51296997070312,156.76610984113336,152.7628090103153,154.30974468418376,780900
2018-03-05,157.03797912597656,157.79738437790812,150.7470782646784,151.6471231261296,880300
2018-03-06,155.68789672851562,157.97549671466487,153.98158129496665,157.50672669474005,1095100
2018-03-07,156.34417724609375,156.8973367608883,153.57843689502587,153.75657179761004,773300
2018-03-08,157.85357666015625,158.24734167222144,156.29727141410507,156.70977692265726,757100
2018-03-09,159.4286651611328,160.9568454923349,157.66608554581825,159.16615512979538,826000
2018-03-12,159.25051879882812,160.13180854290098,158.34110400383574,159.39114405342582,636600
2018-03-13,158.519287109375,160.3662423124066,158.15364703041442,160.0662226036558,551900
2018-03-14,156.27853393554688,158.88489380841233,155.78163891483163,158.88489380841233,689800
2018-03-15,156.08164978027344,157.01918974775228,155.09722995327576,156.70979984179732,574700
2018-03-16,156.85047912597656,157.79738958277323,155.20039920984368,156.21294434772662,907600
2018-03-19,155.05975341796875,157.18797340735438,154.0190833558726,156.56919352054558,494300
2018-03-20,157.00047302246094,157.86300820646468,154.97538295268168,155.65041297594144,463500
2018-03-21,156.7660675048828,158.84739311454473,156.70980308885962,157.24420774814334,535100
2018-03-22,150.8595733642578,155.9222839282565,150.66268365860495,155.24725394562654,770100
2018-03-23,148.5250701904297,151.94709943073156,148.49694513770785,151.09393468290594,990300
2018-03-26,153.1002960205078,153.41905621036798,149.92203576107588,151.45021634457072,552400
2018-03-27,149.5751190185547,153.87843831002908,148.53444909006703,153.87843831002908,789100
2018-03-28,149.0126495361328,150.70022484628444,146.5562986604131,149.9501897855805,784100
2018-03-29,151.2252197265625,152.33151016856266,148.590734356509,149.8189095883224,856900
2018-04-02,148.75009155273438,151.1783165841856,146.48124659572375,150.9064362938397,969700
2018-04-03,150.82208251953125,151.01897224968548,148.23447680126026,149.89392690720797,862300
2018-04-04,152.125244140625,152.57527366704824,147.91569845026976,149.07823896254828,722900
2018-04-05,152.0971221923828,153.02529201566134,151.26271209879044,153.02529201566134,437700
2018-04-06,149.0595245361328,151.64713038994222,147.40944459538903,150.26894512385667,684300
2018-04-09,149.50010681152344,152.50960163902192,149.3407124522137,150.39076678426304,501800
2018-04-10,152.48155212402344,153.6159821689285,150.40958178954477,151.7127765255524,681600
2018-04-11,152.25650024414062,152.95965529016786,150.14703510605892,151.32834473904933,671400
2018-04-12,153.70970153808594,154.95663162836865,152.80028646702056,153.78470646521504,599100
2018-04-13,152.71591186523438,155.06913245166982,151.7221216120443,153.78470704583668,420600
2018-04-16,154.11280822753906,154.98471343886857,152.8658784852159,154.26280373421343,466300
2018-04-17,155.57537841796875,156.10039849034172,154.3190783439728,154.9941082386592,674600
2018-04-18,156.0723114013672,156.46607655143006,154.72225128359304,155.81917155285265,516100
2018-04-19,155.36915588378906,155.81917115331737,154.23472599987366,155.63166598315786,596200
2018-04-20,153.77528381347656,156.22226329253726,153.15650410481243,155.26596867966745,671100
2018-04-23,152.33151245117188,154.05659711894802,151.7502421631551,153.75657741821246,671200
2018-04-24,150.43768310546875,153.40029879875712,149.1813685628773,152.9784086363143,817100
2018-04-25,152.38778686523438,153.16594699414406,149.70642116173352,150.94398116599345,1049500
2018-04-26,154.39407348632812,155.42537316288306,151.15019324139075,152.90338838580965,1904000
2018-04-27,152.84713745117188,154.6003325861158,152.31274711673564,154.6003325861158,1318400
2018-04-30,152.0689697265625,154.50657920179918,152.05021492286028,153.7752992203729,742800
2018-05-01,153.90655517578125,154.12218534964225,150.72829545069806,151.39394077609796,804500
2018-05-02,152.54713439941406,154.09406962342794,152.2471147430801,153.37215984288332,787200
2018-05-03,152.93154907226562,153.34406903900233,150.45644357757308,152.10652344451998,781500
2018-05-04,155.92227172851562,156.94418687297224,151.21581702501413,152.19086661506753,621100
2018-05-07,156.93479919433594,157.61919929787732,155.68786944318154,156.212889484568,450000
2018-05-08,157.40359497070312,157.65673478425546,155.77227016941373,156.46605494126163,579200
2018-05-09,159.89744567871094,160.3755859161432,156.73792623346134,157.68485076435672,585000
2018-05-10,162.92568969726562,163.2538343986933,159.719304817804,160.05681976857488,752600
2018-05-11,163.17884826660156,163.83512343926174,162.06317332021635,162.80382366384873,871900
2018-05-14,161.25686645507812,163.88198109572417,160.35682183615918,163.69447597261887,617800
2018-05-15,160.21615600585938,160.8911857227099,159.2411210291421,160.5161755714464,540500
2018-05-16,161.48190307617188,162.26006303298132,160.0662084475137,160.4787283576995,742000
2018-05-17,160.8256378173828,161.875692557551,159.91623699480888,161.397537905225,463700
2018-05-18,162.16036987304688,162.48934415676766,160.79744362902477,161.0136283689002,694000
2018-05-21,164.5760040283203,165.0365851449093,162.94049859790658,162.94989294385266,1059200
2018-05-22,163.88987731933594,165.0554218676186,163.203717019891,164.68884150572165,773400
2018-05-23,163.59848022460938,163.61728326118063,161.65277470114958,162.72431830547808,824400
2018-05-24,163.50450134277344,163.93688518689365,161.14522909549987,163.41051483232397,705600
2018-05-25,163.5797119140625,163.8428971118729,162.18858810527647,163.04394716941906,531300
2018-05-29,160.5530548095703,162.90293270173663,158.88933724601193,162.12277152043544,898100
2018-05-30,163.0062713623047,163.2130616924893,160.6188025626888,161.7185433136644,740000
2018-05-31,160.3274383544922,163.28827807173312,160.25224055836213,163.00628992187373,1027700
2018-06-01,162.5738983154297,163.27886142252694,161.69034225973266,162.08511987860578,588700
2018-06-04,164.7076416015625,164.71705029259303,162.53635666600312,163.40111003231803,532000
2018-06-05,165.63818359375,166.06115871923654,164.50083645475988,164.74523291938607,671500
2018-06-06,167.60267639160156,167.6120850817018,165.53478686422056,166.10815760223448,528400
2018-06-07,167.08570861816406,167.98806801860007,165.82617753928798,167.8940671680802,616300
2018-06-08,168.44863891601562,168.52382238080514,166.73792107049195,167.08569837957558,477700
2018-06-11,167.14207458496094,169.0407650611589,166.7566912768417,168.34521057993263,592000
